Time,P_messy,numstations,sum2res,sumres,sumerr,SCR_P_messy,int_P_messy,P,SCR_P,int_P
01-Jan-2008,NaN,0,NaN,NaN,NaN,NaN,NaN,847814.072747916,5932794.64246845,0
02-Jan-2008,-8790819.58586741,1,0.00289633883352213,0.0829818274407293,0.204153528018651,-631234.602062177,0,902596.957804278,5108863.86287293,0
03-Jan-2008,-8266345.88295582,1,8.33827149180829e-07,0.0014079794846832,0.125846080116586,-1455165.3816577,0,957379.842860635,4284933.08327741,0
04-Jan-2008,-8331413.64815808,5,0.000245188447796786,0.0449932093732687,1.05400373451343,-1302884.47842231,0,1012162.727917,4437213.9865128,0
05-Jan-2008,-8276630.76310172,5,7.23253932210064e-05,0.0241369293383383,0.811743551009475,-1253233.20955858,0,1066945.61297335,4486865.25537653,0
06-Jan-2008,-8307053.30930035,5,6.21588704419621e-05,0.0258333094424334,0.983830143385137,-1242420.39649651,0,1036523.06677472,4497678.0684386,0
07-Jan-2008,-8260033.68230412,5,4.8335534127972e-05,0.0190687021428584,0.883932980893215,-1327366.54827298,0,1083542.69377095,4412731.91666213,0
08-Jan-2008,-8136249.29184365,5,3.55022414601256e-05,0.0186021625986537,0.625867278667839,-1515644.06500148,0,1207327.08423143,4224454.39993363,0
09-Jan-2008,-8232041.8669748,5,0.000188934640222219,0.0406383969588187,0.817218949047843,-1216083.99157431,0,1111534.50910027,4524014.4733608,0
10-Jan-2008,-8137792.99869248,5,0.000116415886056051,0.0351244550822395,0.790125379459966,-1441976.73645676,0,1205783.3773826,4298121.72847835,0
11-Jan-2008,-8356063.96798463,5,9.13390008417982e-05,0.0276382562191601,0.940492019324095,-1233722.8732051,0,987512.408090449,4506375.59173001,0
12-Jan-2008,-8364932.28779959,5,0.000146466127902148,0.0341248551957885,0.794048372606076,-1460630.46240131,0,978644.088275488,4279468.0025338,0
13-Jan-2008,-8156763.31481736,5,0.000260452551457313,0.0531485102809856,0.886052816581123,-1811957.72424198,0,1186813.06125772,3928140.74069313,0
14-Jan-2008,-8467265.47957771,5,0.000358723380465283,0.0518201630415169,0.822688096488415,-1388373.23805579,0,876310.896497363,4351725.22687932,0
15-Jan-2008,-8303092.19200859,5,0.000190133595403411,0.0426393857132527,0.803291005813205,-1621265.83246704,0,1040484.18406648,4118832.63246807,0
16-Jan-2008,-8347842.38692318,5,0.000116277720058124,0.0344154238732149,0.721689129908587,-1368124.00277893,0,995733.989151894,4371974.46215618,0
17-Jan-2008,-8187706.1927542,5,0.000149659287877268,0.0337188338701028,0.902546310715231,-1564430.20373689,0,1155870.18332088,4175668.26119822,0
18-Jan-2008,-8224892.01527645,5,0.000387725783957875,0.0679487694646687,0.79587428557067,-1142729.00362017,0,1118684.36079862,4597369.46131494,0
19-Jan-2008,-8218537.27038476,5,0.000397332267499001,0.0641461412965605,0.921855186285926,-1474268.24068916,0,1125039.10569032,4265830.22424595,0
20-Jan-2008,-8276469.07795974,5,7.63448290869741e-05,0.0289990759180107,0.951774079068897,-1396393.74774752,0,1067107.29811534,4343704.71718759,0
21-Jan-2008,-8206837.73278139,5,0.000101793010448239,0.0316369267249769,0.647570234322958,-1715372.27784458,0,1136738.64329368,4024726.18709053,0
22-Jan-2008,-8092541.63817923,5,0.000155656893882274,0.0390725738048582,1.16343131714547,-1617743.10173151,0,1251034.73789584,4122355.3632036,0
23-Jan-2008,-8269916.14642086,5,0.000141767004685774,0.0356929200553622,0.898392212384713,-1642502.14986188,0,1073660.22965422,4097596.31507323,0
24-Jan-2008,-8310989.62020116,5,0.000107864263265816,0.0333003685945044,1.04083737287512,-1699050.09810092,0,1032586.75587392,4041048.36683419,0
25-Jan-2008,-8205914.96526924,5,6.81739323218652e-05,0.0236321300428593,0.90307895804978,-1810111.63608078,0,1137661.41080584,3929986.82885433,0
26-Jan-2008,-8169162.21170433,5,0.000174119830948707,0.0355108643905064,0.940555238249444,-1697550.10844091,0,1174414.16437075,4042548.3564942,0
27-Jan-2008,-8069087.88940932,5,7.68287560180614e-05,0.0244275343372255,0.672916791172756,-1936523.56435214,0,1274488.48666575,3803574.90058297,0
28-Jan-2008,-7901099.0376431,5,0.000247005721405715,0.0488365028374663,0.891202987088941,-2287537.17785231,0,1442477.33843197,3452561.2870828,0
29-Jan-2008,-8296294.6041218,5,0.000388588507678525,0.0552407478518805,0.822482266362017,-1816099.68928751,0,1047281.77195327,3923998.7756476,0
30-Jan-2008,-8210964.89990715,5,0.0002454747450827,0.0524535044748004,1.12032858588027,-2020188.61955388,0,1132611.47616792,3719909.84538123,0
31-Jan-2008,-8489344.19501214,5,0.000220940248518178,0.0462190615934792,0.622794293928156,-1530596.93956273,0,854232.181062933,4209501.52537238,0
01-Feb-2008,-8391451.11468603,5,8.20750462659647e-05,0.028413395234778,0.710552897509459,-1788700.65854995,0,952125.261389047,3951397.80638516,0
02-Feb-2008,-8119271.43793821,5,0.000257914114046556,0.0511023249063135,0.932329286288152,-1738694.76597903,0,1224304.93813686,4001403.69895608,0
03-Feb-2008,-8288127.97641217,5,0.000409978244592276,0.0653216612119199,0.978763072240176,-1906237.13376776,0,1055448.39966291,3833861.33116735,0
04-Feb-2008,-8013274.9455358,5,0.000123442340676235,0.0299547556981179,0.956184747165209,-2099032.4792774,0,1330301.43053927,3641065.98565771,0
05-Feb-2008,-8332928.45563949,5,0.000116794516717228,0.0318201635416175,0.816445988884302,-1928715.65220134,0,1010647.92043559,3811382.81273377,0
06-Feb-2008,-8300682.79139564,5,8.91662410495217e-05,0.0304532431346319,0.806907414883159,-2133682.0703639,0,1042893.58467943,3606416.39457121,0
07-Feb-2008,-8124957.4485583,5,0.000105053973292381,0.033189574575439,0.797343054690497,-2077565.41563409,0,1218618.92751677,3662533.04930102,0
08-Feb-2008,-8234286.65066244,5,0.000114685258898948,0.0351931304475335,0.969594836224665,-1921751.0438126,0,1109289.72541264,3818347.42112251,0
09-Feb-2008,-8340614.37774483,5,2.0559443088519e-05,0.0149456200645495,0.806594287135891,-1936280.69841926,0,1002961.99833024,3803817.76651585,0
10-Feb-2008,-8353761.3750202,5,5.139252625864e-05,0.0224036088314122,1.00483761651146,-1941203.77953295,0,989815.001054875,3798894.68540216,0
11-Feb-2008,-8133849.5010669,5,7.09095183159595e-05,0.0225515842877789,0.564722209455411,-2211907.30041874,0,1209726.87500817,3528191.16451637,0
12-Feb-2008,-8214299.46787416,5,5.561823192653e-05,0.0238635568008858,1.07746345571259,-2206215.36626732,0,1129276.90820091,3533883.09866779,0
13-Feb-2008,-8194380.21829736,5,4.58438824713927e-05,0.0189551895708184,0.642760012407522,-2083689.47124927,0,1149196.15777772,3656408.99368584,0
14-Feb-2008,-8133012.01401857,5,0.000197075341357751,0.0394752043448091,0.899556054837237,-2010004.42021423,0,1210564.3620565,3730094.04472088,0
15-Feb-2008,-8281728.78316804,5,7.42495155761915e-05,0.0250649145575499,0.958011348511629,-1987431.44250188,0,1061847.59290704,3752667.02243323,0
16-Feb-2008,-8116478.25142155,5,6.01961701283974e-05,0.0249945315860918,0.843646262833946,-2028802.0440344,0,1227098.12465352,3711296.42090071,0
17-Feb-2008,-8080502.14860991,5,3.24767986872214e-05,0.0194133913670064,0.911473435732022,-2112304.90332411,0,1263074.22746517,3627793.561611,0
18-Feb-2008,-8126243.3403181,5,2.48569821438089e-05,0.0145226074805748,1.04471078516911,-2104205.96909585,0,1217333.03575698,3635892.49583926,0
19-Feb-2008,-8052819.96617426,5,4.17127613009153e-05,0.0204778491362969,0.864203979733296,-2229027.30661149,0,1290756.40990081,3511071.15832362,0
20-Feb-2008,-8051804.92645809,5,2.83399049743403e-05,0.0159772313747445,0.855772206555611,-2291916.86021941,0,1291771.44961698,3448181.6047157,0
21-Feb-2008,-8134627.16153757,5,2.87495026238428e-05,0.0183508594895885,0.972085965516129,-2250754.70821466,0,1208949.21453751,3489343.75672045,0
22-Feb-2008,-8178120.30348114,5,5.74436112886863e-05,0.0244428924714406,0.976949566980016,-2278236.09997753,0,1165456.07259394,3461862.36495758,0
23-Feb-2008,-8145087.38920927,5,0.000100705194100759,0.0295804391601594,0.981898665857636,-2334742.89049222,0,1198488.9868658,3405355.57444289,0
24-Feb-2008,-7954780.12595383,5,0.000220944905235844,0.0407361842040893,0.902643229477585,-2305578.8603401,0,1388796.25012125,3434519.60459501,0
25-Feb-2008,-8082224.85012875,5,0.000115658711858389,0.0276375412149839,0.789597693618899,-2409767.86498939,0,1261351.52594632,3330330.59994572,0
26-Feb-2008,-8259838.34889256,5,0.000132393837039414,0.034411403338479,0.577450036866076,-1974219.62509658,0,1083738.02718252,3765878.83983853,0
27-Feb-2008,-8063887.84351585,5,0.000101631419333759,0.0303329865369906,0.581317891875668,-2341818.68574753,0,1279688.53255922,3398279.77918758,0
28-Feb-2008,-8173909.47131902,5,6.71370197863285e-05,0.0261834890878741,0.818972690902518,-2187907.14022607,0,1169666.90475606,3552191.32470904,0
29-Feb-2008,-8268541.95459169,5,9.50246049264515e-05,0.0357373565032912,1.00561721104346,-2136360.70829912,0,1075034.42148338,3603737.75663599,0
01-Mar-2008,-8173535.75041244,5,6.60986792193549e-05,0.0245362866275103,1.01222511383689,-2161736.9605692,0,1170040.62566264,3578361.50436591,0
02-Mar-2008,-8184818.64204382,5,2.6499902793953e-05,0.0164738505648144,0.983428657490219,-2140283.29878119,0,1158757.73403126,3599815.16615392,0
03-Mar-2008,-8054469.69722768,5,6.77810471703605e-05,0.0244246503151845,0.715225166260334,-2368943.95226261,0,1289106.6788474,3371154.5126725,0
04-Mar-2008,-8258204.49094112,5,4.38736512317431e-05,0.0216771037984343,0.562625767511054,-2085136.93837567,0,1085371.88513395,3654961.52655944,0
05-Mar-2008,-8142424.42952805,5,0.000103237666332217,0.0298682734048407,0.645387827200848,-2385226.79436803,0,1201151.94654703,3354871.67056708,0
06-Mar-2008,-8183369.14450718,5,7.17149563119012e-05,0.0266616145405973,0.949722504804518,-2287960.54982122,0,1160207.23156789,3452137.91511389,0
07-Mar-2008,-8191011.34207661,5,6.77400998690879e-05,0.0242881768100414,1.00129682320159,-2330582.45839625,0,1152565.03399847,3409516.00653886,0
08-Mar-2008,-8168230.90079456,5,7.77356715769784e-05,0.0290420937309753,0.797651763568353,-2457387.48498024,0,1175345.47528052,3282710.97995487,0
09-Mar-2008,-8176546.45487288,5,5.46409187397733e-05,0.0239645692039214,0.801694953492478,-2344813.11257408,0,1167029.92120219,3395285.35236103,0
10-Mar-2008,-8276982.32673461,5,0.000122505601739978,0.0348335800903207,0.777600195800113,-2181349.96667622,0,1066594.04934046,3558748.49825889,0
11-Mar-2008,-8218525.52784354,5,8.0866902631803e-05,0.0204806548073451,1.02006427277536,-2204310.62529426,0,1125050.84823153,3535787.83964085,0
12-Mar-2008,-8184337.29093878,5,7.53843935754463e-05,0.0262631284487771,0.944982110930232,-2116316.18888575,0,1159239.0851363,3623782.27604936,0
13-Mar-2008,-8254272.40036521,5,8.40199745843679e-05,0.0249717757939482,0.779171978854753,-2220454.77422113,0,1089303.97570987,3519643.69071398,0
14-Mar-2008,-8225394.24039179,5,4.60337165017534e-05,0.0174872605632126,0.911544432571988,-2305678.95981238,0,1118182.13568328,3434419.50512273,0
15-Mar-2008,-8243557.81955111,5,4.95504758266536e-05,0.0217695438589937,1.00558494138317,-2302256.58716246,0,1052869.59663524,3437841.87777265,0
16-Mar-2008,-8356019.31848787,6,4.31918696097381e-05,0.0222650741251719,0.725796809786926,-2161196.5983375,0,987557.057587208,3578901.86659761,0
17-Mar-2008,-8250399.00690413,6,0.000101572265728355,0.0288889962372501,0.836162611828585,-2241346.6625529,0,1093177.36917094,3498751.80238221,0
18-Mar-2008,-8508962.69511152,6,0.00023733765936712,0.043334556388281,0.940093907659087,-2159219.8916277,0,834613.680963552,3580878.57330741,0
19-Mar-2008,-8190285.31496542,6,0.000220281108371993,0.0489263996172266,0.778555859425425,-2306973.22057328,0,1153291.06110965,3433125.24436183,0
20-Mar-2008,-8304907.184152,6,0.000151053608611958,0.041275252894008,0.821389294726252,-2396460.33450052,0,1038669.19192308,3343638.13043459,0
21-Mar-2008,-8440338.19329234,6,0.000100843298279424,0.0339595106239707,0.882845743412,-2288220.67191103,0,903238.182782736,3451877.79302408,0
22-Mar-2008,-8474248.69797559,6,0.000224565863503233,0.0512239004798272,0.800105200304763,-2453166.195655,0,869327.678099485,3286932.26928011,0
23-Mar-2008,-8503214.47047939,6,0.00014380954359734,0.0353666053505849,0.998284427111623,-2410343.5256149,0,840361.905595688,3329754.93932021,0
24-Mar-2008,-8339341.58213796,6,0.000120209019443433,0.0369611016963179,0.761273388767313,-2331503.77880454,0,1004234.79393711,3408594.68613057,0
25-Mar-2008,-8455083.28263764,6,0.000102901923431213,0.0353853035520933,1.00230776913967,-2341819.49597233,0,888493.093437431,3398278.96896278,0
26-Mar-2008,-8278348.899788,6,0.000275174982501185,0.0567341574568223,1.05993850655519,-2419313.68740547,0,1065227.47628708,3320784.77752964,0
27-Mar-2008,-8350628.40704793,6,0.000138891208562629,0.0352356293049919,0.69681972400212,-2518443.63270628,0,992947.969027148,3221654.83222883,0
28-Mar-2008,-8442953.40343421,6,8.48879786424673e-05,0.0314885539191045,0.838144469576462,-2299521.17788401,0,900622.972640863,3440577.2870511,0
29-Mar-2008,-8124958.91206716,6,0.000331586563088704,0.0612533553559249,0.954378723523939,-2334830.61240803,0,1218617.46400792,3405267.85252707,0
30-Mar-2008,-8333021.03602546,6,0.000396679847522244,0.0669487083179652,0.829956947686789,-2494309.00793215,0,1010555.34004962,3245789.45700296,0
31-Mar-2008,-8560790.96276916,6,0.000383563483876195,0.0587888570079701,0.960116888001294,-2350968.96155386,0,782785.413305918,3389129.50338125,0
01-Apr-2008,-8406221.78153904,6,0.000279413760138961,0.0457589160596142,1.0351820815656,-2514435.0804854,0,937354.594536033,3225663.38444971,0
02-Apr-2008,-8283111.53369584,6,0.000144621295998988,0.0391246788932643,1.00238515980075,-2582450.58503838,0,1060464.84237923,3157647.87989673,0
03-Apr-2008,-8209856.5766929,6,0.000274823577120254,0.0511841021117046,0.844616509193722,-2469223.78343178,0,1133719.79938217,3270874.68150333,0
04-Apr-2008,-8430717.0498502,6,0.000178747473260771,0.0486318706133392,0.8506912098301,-2428956.18564404,0,912859.326224878,3311142.27929107,0
05-Apr-2008,-8387790.82160217,6,0.000154385810854675,0.0419439391046525,0.535546657973741,-2139702.88202507,0,955785.554472907,3600395.58291004,0
06-Apr-2008,-8254154.05082277,6,0.000118713859131035,0.0375339849565828,0.579441518191893,-2510761.23554479,0,1089422.32525231,3229337.22939032,0
