Time,P_messy,numstations,sum2res,sumres,sumerr,SCR_P_messy,int_P_messy,P,SCR_P,int_P
01-Jan-2008,NaN,0,NaN,NaN,NaN,NaN,NaN,1059767.5909349,7415993.30308556,0
02-Jan-2008,-10988524.4823343,1,0.00289633883352213,0.0829818274407293,0.20415352801865,-789043.252577721,0,1128246.19725535,6386079.82859116,0
03-Jan-2008,-10332932.3536948,1,8.33827149180827e-07,0.0014079794846832,0.125846080116586,-1818956.72707212,0,1196724.8035758,5356166.35409676,0
04-Jan-2008,-10414267.0601976,5,0.000245188447796786,0.0449932093732687,1.05400373451343,-1628605.59802789,0,1265203.40989625,5546517.483141,0
05-Jan-2008,-10345788.4538771,5,7.23253932210064e-05,0.0241369293383383,0.811743551009475,-1566541.51194823,0,1333682.0162167,5608581.56922065,0
06-Jan-2008,-10383816.6366254,5,6.21588704419621e-05,0.0258333094424334,0.983830143385137,-1553025.49562064,0,1295653.83346841,5622097.58554824,0
07-Jan-2008,-10325042.1028801,5,4.8335534127972e-05,0.0190687021428584,0.883932980893215,-1659208.18534123,0,1354428.3672137,5515914.89582765,0
08-Jan-2008,-10170311.6148046,5,3.55022414601256e-05,0.0186021625986537,0.625867278667839,-1894555.08125185,0,1509158.8552893,5280567.99991703,0
09-Jan-2008,-10290052.3337185,5,0.000188934640222219,0.0406383969588187,0.817218949047843,-1520104.98946788,0,1389418.13637535,5655018.091701,0
10-Jan-2008,-10172241.2483656,5,0.000116415886056051,0.0351244550822396,0.790125379459966,-1802470.92057095,0,1507229.22172825,5372652.16059793,0
11-Jan-2008,-10445079.9599808,5,9.13390008417982e-05,0.0276382562191601,0.940492019324095,-1542153.59150638,0,1234390.51011307,5632969.4896625,0
12-Jan-2008,-10456165.3597495,5,0.000146466127902148,0.0341248551957885,0.794048372606076,-1825788.07800164,0,1223305.11034437,5349335.00316724,0
13-Jan-2008,-10195954.1435217,5,0.000260452551457313,0.0531485102809856,0.886052816581123,-2264947.15530248,0,1483516.32657215,4910175.9258664,0
14-Jan-2008,-10584081.8494721,5,0.000358723380465283,0.0518201630415169,0.822688096488414,-1735466.54756973,0,1095388.62062171,5439656.53359915,0
15-Jan-2008,-10378865.2400107,5,0.000190133595403411,0.0426393857132527,0.803291005813205,-2026582.2905838,0,1300605.23008311,5148540.79058508,0
16-Jan-2008,-10434802.983654,5,0.000116277720058124,0.0344154238732149,0.721689129908587,-1710155.00347366,0,1244667.48643988,5464968.07769522,0
17-Jan-2008,-10234632.7409427,5,0.000149659287877268,0.0337188338701028,0.902546310715231,-1955537.75467112,0,1444837.72915111,5219585.32649776,0
18-Jan-2008,-10281115.0190956,5,0.000387725783957875,0.0679487694646687,0.795874285570671,-1428411.25452521,0,1398355.45099828,5746711.82664367,0
19-Jan-2008,-10273171.5879809,5,0.000397332267499001,0.0641461412965605,0.921855186285925,-1842835.30086145,0,1406298.88211291,5332287.78030743,0
20-Jan-2008,-10345586.3474497,5,7.63448290869741e-05,0.0289990759180107,0.951774079068897,-1745492.1846844,0,1333884.12264418,5429630.89648448,0
21-Jan-2008,-10258547.1659767,5,0.000101793010448239,0.0316369267249769,0.647570234322958,-2144215.34730573,0,1420923.30411711,5030907.73386316,0
22-Jan-2008,-10115677.047724,5,0.000155656893882274,0.0390725738048582,1.16343131714547,-2022178.87716439,0,1563793.42236981,5152944.20400449,0
23-Jan-2008,-10337395.1830261,5,0.000141767004685774,0.0356929200553622,0.898392212384713,-2053127.68732734,0,1342075.28706778,5121995.39384154,0
24-Jan-2008,-10388737.0252514,5,0.000107864263265816,0.0333003685945044,1.04083737287512,-2123812.62262614,0,1290733.44484241,5051310.45854274,0
25-Jan-2008,-10257393.7065865,5,6.81739323218652e-05,0.0236321300428593,0.90307895804978,-2262639.54510097,0,1422076.7635073,4912483.53606791,0
26-Jan-2008,-10211452.7646304,5,0.000174119830948707,0.0355108643905064,0.940555238249444,-2121937.63555113,0,1468017.70546344,5053185.44561775,0
27-Jan-2008,-10086359.8617617,5,7.68287560180614e-05,0.0244275343372255,0.672916791172756,-2420654.45544017,0,1593110.6083322,4754468.62572871,0
28-Jan-2008,-9876373.79705387,5,0.000247005721405715,0.0488365028374663,0.89120298708894,-2859421.47231539,0,1803096.67303997,4315701.60885349,0
29-Jan-2008,-10370368.2551522,5,0.000388588507678525,0.0552407478518805,0.822482266362017,-2270124.61160939,0,1309102.2149416,4904998.46955949,0
30-Jan-2008,-10263706.1248839,5,0.0002454747450827,0.0524535044748003,1.12032858588027,-2525235.77444236,0,1415764.34520991,4649887.30672653,0
31-Jan-2008,-10611680.2437652,5,0.000220940248518178,0.0462190615934791,0.622794293928155,-1913246.17445341,0,1067790.22632867,5261876.90671547,0
01-Feb-2008,-10489313.8933575,5,8.20750462659647e-05,0.0284133952347781,0.710552897509459,-2235875.82318743,0,1190156.57673632,4939247.25798145,0
02-Feb-2008,-10149089.2974228,5,0.000257914114046556,0.0511023249063135,0.932329286288152,-2173368.45747379,0,1530381.17267109,5001754.6236951,0
03-Feb-2008,-10360159.9705152,5,0.000409978244592276,0.0653216612119199,0.978763072240176,-2382796.41720969,0,1319310.49957864,4792326.66395919,0
04-Feb-2008,-10016593.6819197,5,0.000123442340676235,0.0299547556981179,0.956184747165209,-2623790.59909676,0,1662876.7881741,4551332.48207213,0
05-Feb-2008,-10416160.5695494,5,0.000116794516717228,0.0318201635416175,0.816445988884302,-2410894.56525167,0,1263309.90054449,4764228.51591721,0
06-Feb-2008,-10375853.4892445,5,8.91662410495217e-05,0.0304532431346319,0.806907414883159,-2667102.58795487,0,1303616.9808493,4508020.49321401,0
07-Feb-2008,-10156196.8106979,5,0.000105053973292381,0.033189574575439,0.797343054690497,-2596956.76954261,0,1523273.65939597,4578166.31162627,0
08-Feb-2008,-10292858.313328,5,0.000114685258898948,0.0351931304475335,0.969594836224665,-2402188.80476575,0,1386612.15676581,4772934.27640313,0
09-Feb-2008,-10425767.972181,5,2.0559443088519e-05,0.0149456200645495,0.806594287135891,-2420350.87302408,0,1253702.49791281,4754772.2081448,0
10-Feb-2008,-10442201.7187752,5,5.139252625864e-05,0.0224036088314122,1.00483761651146,-2426504.72441619,0,1237268.7513186,4748618.3567527,0
11-Feb-2008,-10167311.8763336,5,7.09095183159595e-05,0.0225515842877789,0.564722209455411,-2764884.12552342,0,1512158.59376022,4410238.95564546,0
12-Feb-2008,-10267874.3348427,5,5.561823192653e-05,0.0238635568008858,1.07746345571259,-2757769.20783416,0,1411596.13525115,4417353.87333473,0
13-Feb-2008,-10242975.2728717,5,4.58438824713927e-05,0.0189551895708184,0.642760012407522,-2604611.83906159,0,1436495.19722215,4570511.24210729,0
14-Feb-2008,-10166265.0175232,5,0.000197075341357751,0.0394752043448091,0.899556054837237,-2512505.52526779,0,1513205.45257064,4662617.55590109,0
15-Feb-2008,-10352160.97896,5,7.42495155761915e-05,0.0250649145575499,0.958011348511629,-2484289.30312735,0,1327309.49113381,4690833.77804153,0
16-Feb-2008,-10145597.8142769,5,6.01961701283974e-05,0.0249945315860918,0.843646262833946,-2536002.555043,0,1533872.65581691,4639120.52612588,0
17-Feb-2008,-10100627.6857624,5,3.24767986872214e-05,0.0194133913670064,0.911473435732022,-2640381.12915514,0,1578842.78433147,4534741.95201374,0
18-Feb-2008,-10157804.1753976,5,2.48569821438089e-05,0.0145226074805748,1.04471078516911,-2630257.46136982,0,1521666.29469623,4544865.61979906,0
19-Feb-2008,-10066024.9577178,5,4.17127613009153e-05,0.0204778491362969,0.864203979733296,-2786284.13326436,0,1613445.51237602,4388838.94790452,0
20-Feb-2008,-10064756.1580726,5,2.83399049743403e-05,0.0159772313747445,0.855772206555611,-2864896.07527427,0,1614714.31202124,4310227.00589462,0
21-Feb-2008,-10168283.951922,5,2.87495026238427e-05,0.0183508594895885,0.972085965516129,-2813443.38526832,0,1511186.5181719,4361679.69590056,0
22-Feb-2008,-10222650.3793514,5,5.74436112886863e-05,0.0244428924714406,0.976949566980016,-2847795.12497191,0,1456820.09074243,4327327.95619697,0
23-Feb-2008,-10181359.2365116,5,0.000100705194100759,0.0295804391601594,0.981898665857636,-2918428.61311527,0,1498111.23358226,4256694.46805361,0
24-Feb-2008,-9943475.15744228,5,0.000220944905235844,0.0407361842040893,0.902643229477585,-2881973.57542512,0,1735995.31265157,4293149.50574376,0
25-Feb-2008,-10102781.0626609,5,0.000115658711858389,0.0276375412149839,0.789597693618899,-3012209.83123673,0,1576689.40743291,4162913.24993215,0
26-Feb-2008,-10324797.9361157,5,0.000132393837039414,0.034411403338479,0.577450036866076,-2467774.53137073,0,1354672.53397816,4707348.54979815,0
27-Feb-2008,-10079859.8043948,5,0.000101631419333759,0.0303329865369906,0.581317891875668,-2927273.35718441,0,1599610.66569904,4247849.72398447,0
28-Feb-2008,-10217386.8391488,5,6.71370197863285e-05,0.0261834890878741,0.818972690902518,-2734883.92528258,0,1462083.63094508,4440239.1558863,0
29-Feb-2008,-10335677.4432396,5,9.50246049264515e-05,0.0357373565032912,1.00561721104346,-2670450.8853739,0,1343793.02685424,4504672.19579498,0
01-Mar-2008,-10216919.6880155,5,6.60986792193548e-05,0.0245362866275103,1.01222511383689,-2702171.20071151,0,1462550.7820783,4472951.88045738,0
02-Mar-2008,-10231023.3025548,5,2.6499902793953e-05,0.0164738505648144,0.98342865749022,-2675354.12347649,0,1448447.16753908,4499768.95769239,0
03-Mar-2008,-10068087.1215346,5,6.77810471703605e-05,0.0244246503151845,0.715225166260334,-2961179.94032826,0,1611383.34855926,4213943.14084062,0
04-Mar-2008,-10322755.6136764,5,4.38736512317432e-05,0.0216771037984343,0.562625767511054,-2606421.17296959,0,1356714.85641745,4568701.90819929,0
05-Mar-2008,-10178030.5369101,5,0.000103237666332217,0.0298682734048407,0.645387827200848,-2981533.49296004,0,1501439.93318379,4193589.58820884,0
06-Mar-2008,-10229211.430634,5,7.17149563119012e-05,0.0266616145405973,0.949722504804518,-2859950.68727652,0,1450259.03945987,4315172.39389236,0
07-Mar-2008,-10238764.1775958,5,6.77400998690879e-05,0.0242881768100414,1.00129682320159,-2913228.07299532,0,1440706.29249809,4261895.00817356,0
08-Mar-2008,-10210288.6259932,5,7.77356715769784e-05,0.0290420937309753,0.797651763568353,-3071734.3562253,0,1469181.84410066,4103388.72494358,0
09-Mar-2008,-10220683.0685911,5,5.46409187397733e-05,0.0239645692039214,0.801694953492478,-2931016.3907176,0,1458787.40150275,4244106.69045128,0
10-Mar-2008,-10346227.9084183,5,0.000122505601739978,0.0348335800903207,0.777600195800113,-2726687.45834527,0,1333242.56167558,4448435.62282361,0
11-Mar-2008,-10273156.9098044,5,8.0866902631803e-05,0.0204806548073451,1.02006427277536,-2755388.28161782,0,1406313.56028942,4419734.79955106,0
12-Mar-2008,-10230421.6136735,5,7.53843935754463e-05,0.0262631284487771,0.944982110930232,-2645395.23610718,0,1449048.85642038,4529727.8450617,0
13-Mar-2008,-10317840.5004565,5,8.40199745843679e-05,0.0249717757939482,0.779171978854753,-2775568.46777642,0,1361629.96963734,4399554.61339246,0
