Time,P_messy,numstations,sum2res,sumres,sumerr,SCR_P_messy,int_P_messy,P,SCR_P,int_P
01-Jan-2008,NaN,0,NaN,NaN,NaN,NaN,NaN,652816.836015898,4568251.87470071,0
02-Jan-2008,-6768931.0811179,1,0.00289633883352213,0.0829818274407292,0.20415352801865,-486050.643587877,0,694999.657509298,3933825.17441216,0
03-Jan-2008,-6365086.32987598,1,8.33827149180828e-07,0.0014079794846832,0.125846080116586,-1120477.34387643,0,737182.479002694,3299398.47412361,0
04-Jan-2008,-6415188.50908172,5,0.000245188447796786,0.0449932093732687,1.05400373451343,-1003221.04838518,0,779365.300496091,3416654.76961485,0
05-Jan-2008,-6373005.68758832,5,7.23253932210064e-05,0.0241369293383383,0.811743551009475,-964989.571360111,0,821548.121989489,3454886.24663992,0
06-Jan-2008,-6396431.04816127,5,6.21588704419621e-05,0.0258333094424334,0.983830143385137,-956663.705302315,0,798122.761416541,3463212.11269772,0
07-Jan-2008,-6360225.93537417,5,4.8335534127972e-05,0.0190687021428584,0.883932980893215,-1022072.2421702,0,834327.874203639,3397803.57582984,0
08-Jan-2008,-6264911.9547196,5,3.55022414601256e-05,0.0186021625986537,0.625867278667839,-1167045.93005114,0,929641.854858206,3252829.88794889,0
09-Jan-2008,-6338672.2375706,5,0.000188934640222219,0.0406383969588187,0.817218949047843,-936384.673512216,0,855881.572007213,3483491.14448782,0
10-Jan-2008,-6266100.60899321,5,0.000116415886056051,0.0351244550822396,0.790125379459966,-1110322.08707171,0,928453.200584603,3309553.73092833,0
11-Jan-2008,-6434169.25534816,5,9.13390008417982e-05,0.0276382562191601,0.940492019324095,-949966.61236793,0,760384.554229651,3469909.2056321,0
12-Jan-2008,-6440997.86160568,5,0.000146466127902148,0.0341248551957885,0.794048372606076,-1124685.45604901,0,753555.947972131,3295190.36195102,0
13-Jan-2008,-6280707.75240936,5,0.000260452551457313,0.0531485102809856,0.886052816581123,-1395207.44766633,0,913846.057168446,3024668.37033371,0
14-Jan-2008,-6519794.41927483,5,0.000358723380465283,0.0518201630415169,0.822688096488415,-1069047.39330296,0,674759.390302976,3350828.42469708,0
15-Jan-2008,-6393380.98784661,5,0.000190133595403411,0.0426393857132527,0.803291005813205,-1248374.69099962,0,801172.821731198,3171501.12700041,0
16-Jan-2008,-6427838.63793085,5,0.000116277720058124,0.0344154238732149,0.721689129908587,-1053455.48213978,0,766715.171646964,3366420.33586026,0
17-Jan-2008,-6304533.76842073,5,0.000149659287877268,0.0337188338701028,0.902546310715231,-1204611.25687741,0,890020.041157081,3215264.56112262,0
18-Jan-2008,-6333166.85176287,5,0.000387725783957875,0.0679487694646687,0.795874285570671,-879901.33278753,0,861386.957814943,3539974.4852125,0
19-Jan-2008,-6328273.69819626,5,0.000397332267499001,0.0641461412965605,0.921855186285926,-1135186.54533066,0,866280.11138155,3284689.27266938,0
20-Jan-2008,-6372881.190029,5,7.63448290869741e-05,0.0289990759180107,0.951774079068897,-1075223.18576559,0,821672.619548814,3344652.63223444,0
