Time,P_messy,numstations,sum2res,sumres,sumerr,SCR_P_messy,int_P_messy,P,SCR_P,int_P
01-Jan-2008,NaN,0,NaN,NaN,NaN,NaN,NaN,559343.384102148,3593373.57079933,0
02-Jan-2008,-2337990.35813195,1,0.00201850426710012,0.0723137705696315,0.177907764162777,-4038871.83285379,0,614064.476613079,2998626.9920796,0
03-Jan-2008,-1804390.83068602,1,2.16469795113537e-06,0.00236812609886278,0.211664580347717,-4633618.41157351,0,668785.569124009,2403880.41335988,0
04-Jan-2008,-1806397.17012936,5,0.000263851007592042,0.0451641194616361,1.05800744693836,-4579437.26703934,0,723506.661634939,2458061.55789406,0
05-Jan-2008,-1751676.07761843,5,7.39741260206909e-05,0.0238791399102652,0.803073893704545,-4559803.86283591,0,778227.754145869,2477694.96209748,0
06-Jan-2008,-1763041.01308684,5,6.2309396801895e-05,0.0254540691977907,0.969387240314754,-4561368.24780353,0,766862.818677451,2476130.57712986,0
07-Jan-2008,-1741166.49504772,5,5.17028063222273e-05,0.0195959249672342,0.908372485965665,-4599415.29322634,0,788737.336716577,2438083.53170705,0
08-Jan-2008,-1660895.92938549,5,4.34805624842823e-05,0.0212831238662592,0.716067862813446,-4694209.55796364,0,869007.902378802,2343289.26696975,0
09-Jan-2008,-1690428.22200453,5,0.000225898172069937,0.0428205427573897,0.861100869340724,-4556089.02631307,0,839475.609759764,2481409.79862032,0
10-Jan-2008,-1632130.04658066,5,0.000125419391488703,0.0367396755187266,0.826459798237501,-4672185.09506461,0,897773.785183634,2365313.72986879,0
11-Jan-2008,-1780230.53975919,5,0.000103076306760222,0.0283571127999385,0.964953724574224,-4569416.65989182,0,749673.292005101,2468082.16504158,0
12-Jan-2008,-1832157.51559517,5,0.000174372445695131,0.0372089201230817,0.865811218850503,-4666779.57990709,0,697746.316169122,2370719.24502631,0
13-Jan-2008,-1711415.38557611,5,0.00029960727905856,0.0552712859332554,0.921442168713846,-4836482.45269985,0,818488.446188187,2201016.37223355,0
14-Jan-2008,-1910887.77087565,5,0.000406083653229677,0.0516106188608411,0.819361408708751,-4626827.05874565,0,619016.060888641,2410671.76618774,0
15-Jan-2008,-1789763.71390795,5,0.000193092113066959,0.0436787367384059,0.822871525476479,-4752421.09539216,0,740140.117856342,2285077.72954123,0
16-Jan-2008,-1785122.80341187,5,0.000143818835508404,0.0376319558576801,0.78913958984607,-4636782.06936558,0,744781.028352422,2400716.75556781,0
17-Jan-2008,-1698217.87486069,5,0.000169273518743059,0.0352778835711902,0.944277129798679,-4722652.0518806,0,831685.956903603,2314846.77305279,0
18-Jan-2008,-1657078.56682397,5,0.000469228287720559,0.0739381612116485,0.866027180394013,-4532916.5200918,0,872825.264940325,2504582.3048416,0
19-Jan-2008,-1698981.61290035,5,0.000440718261429922,0.0665105812692531,0.955834958216576,-4687129.7926951,0,830922.218863942,2350369.03223829,0
20-Jan-2008,-1751807.74653015,5,7.40983930112944e-05,0.0284824457039768,0.934817840615939,-4638882.17880677,0,778096.08523414,2398616.64612663,0
21-Jan-2008,-1725180.59382525,5,0.000126069095767029,0.0350151927468629,0.716719318822082,-4798541.4906207,0,804723.237939042,2238957.3343127,0
22-Jan-2008,-1619890.34120252,5,0.000160306628843495,0.0388564681129866,1.1569965188905,-4755322.04783491,0,910013.490561776,2282176.77709848,0
23-Jan-2008,-1757216.53816502,5,0.000141814545626052,0.0357815707574491,0.90062355406967,-4768557.95933243,0,772687.293599277,2268940.86560097,0
24-Jan-2008,-1815438.40138389,5,0.000111306245806656,0.0337002684814859,1.05333665637697,-4783209.65038873,0,714465.430380408,2254289.17454466,0
25-Jan-2008,-1716767.07538047,5,6.11615594137812e-05,0.0231051161197536,0.882939631476471,-4855800.95174275,0,813136.75638383,2181697.87319065,0
26-Jan-2008,-1695619.17040527,5,0.000171272016213939,0.0352417366340083,0.933427010720286,-4789022.07520654,0,834284.661359022,2248476.74972686,0
27-Jan-2008,-1602766.70547314,5,6.34959889329592e-05,0.0239030455345721,0.658468451147308,-4931179.75412515,0,927137.126291156,2106319.07080824,0
28-Jan-2008,-1502611.48297327,5,0.000275896603493319,0.0490418275330215,0.894949897112594,-5107188.72565932,0,1027292.34879102,1930310.09927407,0
29-Jan-2008,-1776650.42682464,5,0.000428458786051615,0.0532944416342209,0.793503615435214,-4865192.64137813,0,753253.404939652,2172306.18355526,0
30-Jan-2008,-1747607.16654731,5,0.00026606884774867,0.0535590402101899,1.14394117953766,-4955207.15976128,0,782296.665216981,2082291.66517211,0
31-Jan-2008,-1911857.1440963,5,0.000290157108882374,0.0526891176428448,0.709977240747413,-4715581.94273342,0,618046.687667991,2321916.88219997,0
01-Feb-2008,-1848918.71687026,5,9.08669994743355e-05,0.0285215252253904,0.713256976958691,-4850654.75244272,0,680985.11489404,2186844.07249067,0
02-Feb-2008,-1606058.01805525,5,0.000261158609117099,0.0505713820601365,0.92264257309568,-4843809.82304217,0,923845.813709048,2193689.00189122,0
03-Feb-2008,-1770659.73879553,5,0.000425717062277044,0.0650961687151532,0.975384350315354,-4914896.98729652,0,759244.092968765,2122601.83763688,0
04-Feb-2008,-1580883.10019501,5,0.000135317383598119,0.0285967083555428,0.912834563709025,-5007924.88397367,0,949020.73156928,2029573.94095972,0
05-Feb-2008,-1826237.02915171,5,0.000116737168902203,0.0323182722571522,0.829226528566151,-4914143.13295106,0,703666.80261258,2123355.69198233,0
06-Feb-2008,-1814326.91103282,5,9.65595089669871e-05,0.0304304680808123,0.806303953382519,-5019504.37435844,0,715576.920731477,2017994.45057495,0
