#reqtime=1732320360.978,2024-11-23 00:06:00.978,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=360&dataTypes.0=1104.7235723519698&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,OUTL_east,OUTL_north,OUTL_up
1213272000.000,2008-06-12 12:00:00,        -0.292713,         0.180623,         0.458594
1213358400.000,2008-06-13 12:00:00,        -0.291391,         0.178742,         0.458818
1213444800.000,2008-06-14 12:00:00,        -0.289999,         0.183959,         0.476205
1213531200.000,2008-06-15 12:00:00,        -0.294429,         0.181120,         0.463391
1213617600.000,2008-06-16 12:00:00,        -0.294692,         0.179170,         0.447131
1213704000.000,2008-06-17 12:00:00,        -0.293862,         0.181525,         0.457777
1213790400.000,2008-06-18 12:00:00,        -0.295416,         0.179890,         0.444844
1213876800.000,2008-06-19 12:00:00,        -0.296891,         0.179057,         0.461090
1213963200.000,2008-06-20 12:00:00,        -0.296516,         0.179414,         0.452675
1214049600.000,2008-06-21 12:00:00,        -0.293328,         0.181404,         0.460600
1214136000.000,2008-06-22 12:00:00,        -0.296258,         0.181218,         0.459914
1214222400.000,2008-06-23 12:00:00,        -0.296546,         0.178092,         0.462906
1214308800.000,2008-06-24 12:00:00,        -0.297696,         0.176200,         0.461556
1214395200.000,2008-06-25 12:00:00,        -0.295865,         0.178253,         0.459523
1214481600.000,2008-06-26 12:00:00,        -0.295348,         0.179385,         0.462001
1214568000.000,2008-06-27 12:00:00,        -0.298623,         0.173278,         0.459719
1214654400.000,2008-06-28 12:00:00,        -0.293322,         0.178078,         0.460044
1214740800.000,2008-06-29 12:00:00,        -0.293061,         0.176682,         0.459089
1214827200.000,2008-06-30 12:00:00,        -0.295900,         0.173582,         0.459641
1214913600.000,2008-07-01 12:00:00,        -0.291856,         0.176186,         0.451361
1215000000.000,2008-07-02 12:00:00,        -0.289155,         0.177851,         0.460375
1215086400.000,2008-07-03 12:00:00,        -0.292612,         0.176802,         0.455123
1215172800.000,2008-07-04 12:00:00,        -0.290240,         0.179483,         0.454800
1215259200.000,2008-07-05 12:00:00,        -0.292886,         0.180484,         0.456323
