#reqtime=1732323739.116,2024-11-23 01:02:19.116,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=358&dataTypes.0=1132.0759046105668&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,NPIT_east,NPIT_north,NPIT_up
1211371200.000,2008-05-21 12:00:00,        -0.062222,         0.206644,         0.332426
1211457600.000,2008-05-22 12:00:00,        -0.064928,         0.206567,         0.337519
1211544000.000,2008-05-23 12:00:00,        -0.063853,         0.207700,         0.329673
1211630400.000,2008-05-24 12:00:00,        -0.065577,         0.205452,         0.320198
1211716800.000,2008-05-25 12:00:00,        -0.062588,         0.207016,         0.322856
1211803200.000,2008-05-26 12:00:00,        -0.062877,         0.205581,         0.332228
1211889600.000,2008-05-27 12:00:00,        -0.061930,         0.206462,         0.334210
1211976000.000,2008-05-28 12:00:00,        -0.063597,         0.208975,         0.330148
1212062400.000,2008-05-29 12:00:00,        -0.064773,         0.207358,         0.331689
1212148800.000,2008-05-30 12:00:00,        -0.062076,         0.203637,         0.323640
1212235200.000,2008-05-31 12:00:00,        -0.063815,         0.205236,         0.330278
1212321600.000,2008-06-01 12:00:00,        -0.062773,         0.209009,         0.331501
1212408000.000,2008-06-02 12:00:00,        -0.062813,         0.206065,         0.322459
1212494400.000,2008-06-03 12:00:00,        -0.064786,         0.204764,         0.324356
1212580800.000,2008-06-04 12:00:00,        -0.064139,         0.202878,         0.333584
1212667200.000,2008-06-05 12:00:00,        -0.062565,         0.204846,         0.319263
1212753600.000,2008-06-06 12:00:00,        -0.061930,         0.205222,         0.327124
1212840000.000,2008-06-07 12:00:00,        -0.063181,         0.203890,         0.328768
1212926400.000,2008-06-08 12:00:00,        -0.060919,         0.209056,         0.324512
1213012800.000,2008-06-09 12:00:00,        -0.061440,         0.206577,         0.328116
1213099200.000,2008-06-10 12:00:00,        -0.060161,         0.210258,         0.312554
1213185600.000,2008-06-11 12:00:00,        -0.063599,         0.204626,         0.336145
1213272000.000,2008-06-12 12:00:00,        -0.060714,         0.205544,         0.337854
1213358400.000,2008-06-13 12:00:00,        -0.059159,         0.202261,         0.328204
1213444800.000,2008-06-14 12:00:00,        -0.058485,         0.207706,         0.338436
