#reqtime=1732320250.324,2024-11-23 00:04:10.324,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=443&dataTypes.0=939.655523352325&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,CALM_east,CALM_north,CALM_up
1544702400.000,2018-12-13 12:00:00,        -0.083396,        -0.051492,        -0.512155
1544788800.000,2018-12-14 12:00:00,        -0.084159,        -0.046804,        -0.506742
1544875200.000,2018-12-15 12:00:00,        -0.085288,        -0.053560,        -0.526092
1544961600.000,2018-12-16 12:00:00,        -0.086170,        -0.052892,        -0.517707
1545048000.000,2018-12-17 12:00:00,        -0.084857,        -0.057971,        -0.512682
1545134400.000,2018-12-18 12:00:00,        -0.082742,        -0.059360,        -0.515761
1545220800.000,2018-12-19 12:00:00,        -0.083847,        -0.058584,        -0.507243
1545307200.000,2018-12-20 12:00:00,        -0.082884,        -0.055755,        -0.531640
1545393600.000,2018-12-21 12:00:00,        -0.082591,        -0.054565,        -0.529677
1545480000.000,2018-12-22 12:00:00,        -0.083698,        -0.054826,        -0.520148
1545566400.000,2018-12-23 12:00:00,        -0.080123,        -0.052876,        -0.520107
1545652800.000,2018-12-24 12:00:00,        -0.084444,        -0.055494,        -0.511020
1545739200.000,2018-12-25 12:00:00,        -0.085653,        -0.058531,        -0.514906
1545825600.000,2018-12-26 12:00:00,        -0.084468,        -0.059620,        -0.504010
1545912000.000,2018-12-27 12:00:00,        -0.082080,        -0.060613,        -0.515128
1545998400.000,2018-12-28 12:00:00,        -0.083044,        -0.061592,        -0.519647
1546084800.000,2018-12-29 12:00:00,        -0.086263,        -0.062117,        -0.513362
1546171200.000,2018-12-30 12:00:00,        -0.087005,        -0.059737,        -0.533884
1546257600.000,2018-12-31 12:00:00,        -0.087441,        -0.060802,        -0.536123
1546344000.000,2019-01-01 12:00:00,        -0.082100,        -0.056725,        -0.522829
1546430400.000,2019-01-02 12:00:00,        -0.081373,        -0.056643,        -0.515634
1546516800.000,2019-01-03 12:00:00,        -0.081810,        -0.054480,        -0.520948
1546603200.000,2019-01-04 12:00:00,        -0.084807,        -0.049529,        -0.516854
1546689600.000,2019-01-05 12:00:00,        -0.081597,        -0.056284,        -0.512909
1546776000.000,2019-01-06 12:00:00,        -0.083728,        -0.062881,        -0.516135
1546862400.000,2019-01-07 12:00:00,        -0.083992,        -0.062157,        -0.525253
1546948800.000,2019-01-08 12:00:00,        -0.080852,        -0.061075,        -0.529378
1547035200.000,2019-01-09 12:00:00,        -0.080693,        -0.063092,        -0.520507
1547121600.000,2019-01-10 12:00:00,        -0.082765,        -0.064108,        -0.514609
1547208000.000,2019-01-11 12:00:00,        -0.083887,        -0.063498,        -0.511925
1547294400.000,2019-01-12 12:00:00,        -0.081030,        -0.065259,        -0.516274
1547380800.000,2019-01-13 12:00:00,        -0.084015,        -0.065879,        -0.513111
1547467200.000,2019-01-14 12:00:00,        -0.083555,        -0.065949,        -0.516974
1547553600.000,2019-01-15 12:00:00,        -0.082964,        -0.066102,        -0.515358
1547640000.000,2019-01-16 12:00:00,        -0.084914,        -0.066559,        -0.515827
1547726400.000,2019-01-17 12:00:00,        -0.082787,        -0.067368,        -0.510943
1547812800.000,2019-01-18 12:00:00,        -0.082366,        -0.065077,        -0.515800
1547899200.000,2019-01-19 12:00:00,        -0.079018,        -0.060551,        -0.522276
1547985600.000,2019-01-20 12:00:00,        -0.079983,        -0.064604,        -0.524367
1548072000.000,2019-01-21 12:00:00,        -0.081602,        -0.067602,        -0.514220
1548158400.000,2019-01-22 12:00:00,        -0.082871,        -0.068722,        -0.509969
1548244800.000,2019-01-23 12:00:00,        -0.082882,        -0.064098,        -0.516660
1548331200.000,2019-01-24 12:00:00,        -0.084540,        -0.069360,        -0.529160
1548417600.000,2019-01-25 12:00:00,        -0.087864,        -0.070896,        -0.525817
1548504000.000,2019-01-26 12:00:00,        -0.088100,        -0.068670,        -0.512907
1548590400.000,2019-01-27 12:00:00,        -0.086809,        -0.069869,        -0.518834
1548676800.000,2019-01-28 12:00:00,        -0.088842,        -0.069472,        -0.513429
1548763200.000,2019-01-29 12:00:00,        -0.086007,        -0.067778,        -0.511640
1548849600.000,2019-01-30 12:00:00,        -0.083920,        -0.070519,        -0.514522
1548936000.000,2019-01-31 12:00:00,        -0.086675,        -0.065776,        -0.515419
1549022400.000,2019-02-01 12:00:00,        -0.084239,        -0.063999,        -0.528182
1549108800.000,2019-02-02 12:00:00,        -0.086307,        -0.069423,        -0.513183
1549195200.000,2019-02-03 12:00:00,        -0.083621,        -0.068218,        -0.519642
1549281600.000,2019-02-04 12:00:00,        -0.086460,        -0.069005,        -0.526939
1549368000.000,2019-02-05 12:00:00,        -0.089323,        -0.071671,        -0.521000
1549454400.000,2019-02-06 12:00:00,        -0.083025,        -0.073581,        -0.520475
1549540800.000,2019-02-07 12:00:00,        -0.089360,        -0.073545,        -0.517161
1549627200.000,2019-02-08 12:00:00,        -0.085449,        -0.076460,        -0.504072
1549800000.000,2019-02-10 12:00:00,        -0.078480,        -0.077203,        -0.524760
1549886400.000,2019-02-11 12:00:00,        -0.083915,        -0.072435,        -0.509454
1549972800.000,2019-02-12 12:00:00,        -0.086626,        -0.077247,        -0.512322
1550059200.000,2019-02-13 12:00:00,        -0.092164,        -0.068585,        -0.501422
1550145600.000,2019-02-14 12:00:00,        -0.083107,        -0.069423,        -0.508716
